TIC,Type,per_vsx,label,vsx_token,expected_class,per_det,brf_class,period_match,grupo,vis_verdict,vis_shape,vis_notes,vis_date,vis_multi
268939674,EW,0.42765,1,EW,E,,,,acuerdo,ok,,,2026-09-05,False
269228211,EW,0.936247,1,EW,E,,,,acuerdo,ok,,,2026-09-05,False
269267602,VAR,1.525,1,VAR,,,,,acuerdo,bad,,,2026-09-05,True
269423650,VAR,0.976296,1,VAR,,,,,acuerdo,unconstrained,,,2026-09-05,True
269818126,EB,3.3593,1,EB,E,,,,acuerdo,ok,,,2026-09-05,False
271443727,MISC,4.3711042,1,MISC,,,,,acuerdo,ok,,,2026-09-05,False
271653404,SPB:,0.33378,1,SPB,,,,,acuerdo,unconstrained,,,2026-09-05,True
272539879,EB/DM,2.1420716,1,EB,E,,,,acuerdo,ok,,,2026-09-05,False
272625912,DSCT|GDOR|SXPHE,0.302557,1,DSCT,DST,,,,acuerdo,ok,,,2026-09-05,False
272833115,E,2.81396,1,E,E,,,,acuerdo,ok,,,2026-09-05,True
274076553,E,4.25873,1,E,E,,,,acuerdo,ok,,,2026-09-05,False
278076037,EB,1.23372,1,EB,E,,,,acuerdo,ok,,,2026-09-05,True
279188128,DSCT|GDOR|SXPHE,0.75617,1,DSCT,DST,,,,acuerdo,ok,,,2026-09-05,False
279236955,BCEP,0.12416075,1,BCEP,,,,,acuerdo,dudoso,,dudosa,2026-09-05,False
280287051,DCEP,7.13357,1,DCEP,CEP,,,,acuerdo,ok,,,2026-09-05,True
280752128,DSCT|GDOR|SXPHE,2.0812,1,DSCT,DST,,,,acuerdo,unconstrained,,,2026-09-05,True
281132210,DSCT|GDOR|SXPHE,2.67457,1,DSCT,DST,,,,acuerdo,unconstrained,,,2026-09-05,True
281643864,BCEP,0.207971,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
281648563,BE|GCAS|SDOR|WR,1.76032,1,BE,,,,,acuerdo,unconstrained,,,2026-09-05,True
282737511,DSCT|GDOR|SXPHE,0.31102,1,DSCT,DST,,,,acuerdo,ok,,,2026-09-05,False
283839379,EA,3.862168,1,EA,E,,,,acuerdo,ok,,,2026-09-05,False
285235783,DCEP,4.501697,1,DCEP,CEP,,,,acuerdo,ok,,,2026-09-05,False
285938173,EB,4.2120947,1,EB,E,,,,acuerdo,bad,,,2026-09-05,False
296564787,ED,2.3153,1,ED,E,,,,acuerdo,ok,,,2026-09-05,False
297348512,BCEP,0.1455969,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
299952811,DSCT|GDOR|SXPHE,0.74313,1,DSCT,DST,,,,acuerdo,unconstrained,,,2026-09-05,True
301783031,DCEP,4.0226946,1,DCEP,CEP,,,,acuerdo,unconstrained,,,2026-09-05,True
303875170,EA/KE:,3.216917,1,EA,E,,,,acuerdo,ok,,,2026-09-05,False
304015004,EB/DM,2.757717,1,EB,E,,,,acuerdo,ok,,,2026-09-05,True
304279911,BCEP,0.1752161,1,BCEP,,,,,acuerdo,maybe,,,2026-09-05,True
304456803,DSCT|GDOR|SXPHE,1.65439,1,DSCT,DST,,,,acuerdo,unconstrained,,,2026-09-05,True
304844648,CWB,1.63959,1,CWB,CEP,,,,acuerdo,ok,,,2026-09-05,False
304943076,BCEP,0.212214,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
305108041,DCEPS,3.99782,1,DCEPS,CEP,,,,acuerdo,bad,,,2026-09-05,True
306492084,EA,5.284,1,EA,E,,,,acuerdo,maybe,,,2026-09-05,True
307242697,DCEP,2.308207,1,DCEP,CEP,,,,acuerdo,maybe,,,2026-09-05,True
312242985,DSCT|GDOR|SXPHE,0.6367,1,DSCT,DST,,,,acuerdo,maybe,,quizas P/2 y ell?,2026-09-05,False
312630206,BCEP,0.1643477,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
313399930,BCEP,0.1512293,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
313446637,DSCT|GDOR|SXPHE,1.49204,1,DSCT,DST,,,,acuerdo,ok,,,2026-09-05,False
314034197,EA,0.201048,1,EA,E,,,,acuerdo,bad,,,2026-09-05,False
314035434,E,5.347,1,E,E,,,,acuerdo,ok,,,2026-09-05,False
314150303,BCEP,0.367366,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
314393072,BCEP,0.231447,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
314406170,ED,2.527596,1,ED,E,,,,acuerdo,ok,,,2026-09-05,False
314529804,BCEP,0.0217573,1,BCEP,,,,,acuerdo,bad,,,2026-09-05,False
314833456,VAR,0.23982,1,VAR,,,,,acuerdo,maybe,,,2026-09-05,True
314951512,DCEP,5.44095,1,DCEP,CEP,,,,acuerdo,ok,,,2026-09-05,False
315036866,BCEP,0.480524,1,BCEP,,,,,acuerdo,,,,,
315291647,EB,1.51853,1,EB,E,,,,acuerdo,ok,,,2026-09-05,False
315370725,BCEP,0.2054708,1,BCEP,,,,,acuerdo,maybe,,,2026-09-05,True
315506577,DSCT|GDOR|SXPHE,0.218226,1,DSCT,DST,,,,acuerdo,ok,,,2026-09-05,False
315955586,BCEP,0.161948,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
